"Type","Name","Description","Product","Platform","Vendor (Browser:Microsoft, Google, Microsoft, Adobe)","Devices","Apps","Scrpt Lngth","Potential End User Impact","Impact Notes","URL","Status","Requires Input","Additional Notes","CharacterCount"
"Script","Invoke-SimpleReboot.ps1","Displays a configurable countdown notification to the logged-on user then forces a reboot via shutdown.exe. Default countdown is 5 minutes.","UEM","Windows","Microsoft","","","Short","1) High","Forces a reboot after countdown. Unsaved work will be lost if the user does not act on the notification.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsReboot/InteractiveReboot/Invoke-SimpleReboot.ps1","4) Complete - Tested","No","","1896"
"Script","Invoke_RebootWithUserDefer_1.2.0.7.ps1","Advanced reboot orchestrator that notifies the user on a configurable schedule and forces a reboot after a maximum deferral window expires. Configurable countdown duration, notification interval, and maximum deferral hours.","UEM","Windows","Microsoft","","","Long","1) High","Reboot is ultimately forced after the max deferral window. Unsaved work will be lost if the user ignores all notifications.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsReboot/InteractiveReboot/Invoke_RebootWithUserDefer_1.2.0.7.ps1","4) Complete - Tested","No","","20049"
"Script","SmartReboot.ps1","Detection component for the SmartReboot workflow. Checks the AirWatch SmartReboot registry key to determine if a pending install has completed. Returns exit 1641 (install pending) or 0 (complete).","UEM","Windows","Microsoft","","","Short","3) Low","Detection only - does not initiate a reboot itself.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsReboot/SmartReboot/SmartReboot.ps1","4) Complete - Tested","No","Used as a detection script in WS1 to gate reboot-required logic","650"
"Sensor","Get-UserProfileSize.ps1","Reports the size of all user profiles on the device. Useful for identifying disk space consumed by inactive or oversized profiles before running cleanup scripts.","UEM","Windows","Microsoft","","","Short","3) Low","Read-only - no changes made to the device.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/DiskCleanup/Get-UserProfileSize.ps1","3) Complete - Needs Testing","No","","2725"
"Script","Start-ClearRecycleBin.ps1","Empties the Recycle Bin for all user profiles on the device silently.","UEM","Windows","Microsoft","","","Short","3) Low","Permanently deletes Recycle Bin contents. Users cannot recover deleted files after this runs.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/DiskCleanup/Start-ClearRecycleBin.ps1","4) Complete - Tested","No","","3960"
"Script","Start-DiskCleanup.ps1","Automates Windows Disk Cleanup (cleanmgr.exe) targeting system-level categories: previous Windows installations, update artifacts, error dumps, and upgrade logs. Reports GB reclaimed on completion.","UEM","Windows","Microsoft","","","Short","3) Low","Deletes system cleanup categories which cannot be recovered. Previous Windows installation data is permanently removed.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/DiskCleanup/Start-DiskCleanup.ps1","4) Complete - Tested","No","","3959"
"Script","Start-UserProfileCleanup.ps1","Removes inactive user profiles from the device based on configurable inactivity period (days) and size threshold (MB). Skips the configured enrollment user account.","UEM","Windows","Microsoft","","","Medium","1) High","Deletes user profiles - all local data in those profiles is permanently lost. Misconfiguring the enrollment user exclusion can result in unintended profile deletion.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/DiskCleanup/Start-UserProfileCleanup.ps1","3) Complete - Needs Testing","No","Requires admin to configure ENROLLMENTUSER, DAYS_INACTIVE, and SIZE_THRESHOLD_MB before deploying","2929"
"Sensor","Get-StartupApps.ps1","Enumerates all startup entries for the currently logged-on user from 64-bit and 32-bit Run registry keys, startup folders, and Task Scheduler logon-trigger tasks. Reports name, enabled/disabled state, command, source, and user.","UEM","Windows","Microsoft","","","Medium","3) Low","Read-only - no changes made to the device.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/UnmanagedAppReport/Get-StartupApps.ps1","3) Complete - Needs Testing","No","Runs as SYSTEM using SID-based registry access to target the logged-on user hive","14318"
"Script","DEX_Invoke-SignoffWindows.ps1","Signs off user sessions on a managed Windows device. Defaults to all sessions; use -CurrentUser switch to target only the active console session.","UEM","Windows","Microsoft","","","Short","1) High","Signs off user sessions - all unsaved work is lost. Ensure user notification is in place before deploying.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/MDMCommands/DEX_Invoke-SignoffWindows.ps1","4) Complete - Tested","No","","6461"
"Script","DEX_LockDevice-BitlockEncryptionActivated.ps1","Disables BitLocker protectors on C: then immediately initiates a hard shutdown. Intended for device decommission or emergency scenarios where encryption must be suspended before power-off.","UEM","Windows","Microsoft","","","Short","0) Critical","Forces an immediate shutdown - all unsaved work is lost. BitLocker protectors are disabled meaning the drive can be read without a recovery key until protectors are re-enabled.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/MDMCommands/DEX_LockDevice-BitlockEncryptionActivated.ps1","3) Complete - Needs Testing","No","Use only for device decommission or specific security scenarios. Understand BitLocker implications before deploying.","689"
"Script","DEX_Start-LockDeviceSoft.ps1","Soft-locks the active console session using tsdiscon.exe. Disconnects and locks the screen without signing the user out - all running processes and unsaved work are preserved.","UEM","Windows","Microsoft","","","Short","3) Low","Screen is locked and session disconnected. User processes continue running in the background. No data loss.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/MDMCommands/DEX_Start-LockDeviceSoft.ps1","4) Complete - Tested","No","","1384"
"Sensor","sensor-getservice.ps1","Returns a JSON-compressed list of all currently running Windows services. Lightweight DEX sensor for service inventory and health monitoring.","UEM","Windows","Microsoft","","","Short","3) Low","Read-only - no changes made to the device.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/MDMCommands/sensor-getservice.ps1","4) Complete - Tested","No","","169"
"Script","Invoke-DefenderServiceRemediation.ps1","Ensures core Microsoft Defender services (MDCoreSvc / WinDefend / WdNisSvc / mpssvc) are set to Automatic startup and running. Re-enables Real-Time Protection if it has been disabled.","UEM","Windows","Microsoft","","Defender","Short","3) Low","Service restarts may cause a brief gap in protection. Real-Time Protection toggling is instantaneous with no user-visible effect.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/Invoke-DefenderServiceRemediation.ps1","4) Complete - Tested","No","","2900"
"Script","Invoke-DefenderPauseScan.ps1","Locates the highest available version of MpCmdRun.exe from the Defender platform directory and issues a scan cancel command. Safe to run when no scan is active.","UEM","Windows","Microsoft","","Defender","Short","3) Low","Cancels an active scan - scan progress is lost and must be re-triggered separately.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/Invoke-DefenderPauseScan.ps1","4) Complete - Tested","No","","1270"
"Script","Invoke-DefenderDynamicPerformance.ps1","Calculates a hardware performance score from BIOS generation date, CPU core count, and system disk type (HDD/SSD/NVMe). Maps the score to a Defender CPU profile (VeryLow/Low/Medium/High) and applies matching ScanAvgCPULoadFactor and EnableLowCpuPriority settings via Set-MpPreference.","UEM","Windows","Microsoft","","Defender","Medium","3) Low","Modifies Defender scan CPU thresholds only. No user-visible interruption.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/Invoke-DefenderDynamicPerformance.ps1","3) Complete - Needs Testing","No","Useful for dynamically tuning Defender without assigning multiple MDM profiles per hardware tier","5242"
"Script","Invoke-DefenderEnableCloudBlock_BAFS.ps1","Enables Defender cloud protection settings: CloudBlockLevel (High/1), MAPSReporting (Advanced), and SubmitSamplesConsent (1 = send safe samples). All changes are idempotent and only applied if not already at the target value.","UEM","Windows","Microsoft","","Defender","Short","3) Low","No user-visible interruption. Increases cloud telemetry sent to Microsoft. Confirm SubmitSamplesConsent is appropriate for your data classification requirements.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/Invoke-DefenderEnableCloudBlock_BAFS.ps1","4) Complete - Tested","No","Confirm SubmitSamplesConsent is acceptable in regulated/restricted environments before deploying","2622"
"Script","Invoke-DefenderUpdateSignatures.ps1","Checks whether Defender virus definitions are out of date. If so triggers Update-MpSignature as a background job so the script exits within MDM timeout windows.","UEM","Windows","Microsoft","","Defender","Short","3) Low","Background signature update consumes network bandwidth. No user-visible interruption during script execution.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/Invoke-DefenderUpdateSignatures.ps1","4) Complete - Tested","No","","1757"
"Script","Start-DefenderThreatReport_1.4.8.4.ps1","Queries active Defender threats and maps detected threat names to the Windows Uninstall registry for reporting in Workspace ONE Intelligence. Threat records are persisted for a configurable number of hours.","UEM","Windows","Microsoft","","Defender","Long","3) Low","Registry write only - no remediation actions taken. Threat data written to the Uninstall key may appear as installed apps in some reporting views.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/ThreatReporting/Start-DefenderThreatReport_1.4.8.4.ps1","4) Complete - Tested","No","Designed to run on a recurring trigger (every 4 hours) for near-real-time threat visibility in Intelligence","13860"
"Sensor","defender_cloudblock_bafs.ps1","Detection sensor: reports the current Defender Block-at-First-Sight (BAFS) and cloud protection state (CloudBlockLevel / MAPSReporting / SubmitSamplesConsent).","UEM","Windows","Microsoft","","Defender","Short","3) Low","Read-only - no changes made to the device.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/defender_cloudblock_bafs.ps1","3) Complete - Needs Testing","No","","1299"
"Sensor","defender_computerstate_summary.ps1","Detection sensor: reports a summary of Microsoft Defender computer protection state including RTP status, signature age, scan status, and service health.","UEM","Windows","Microsoft","","Defender","Short","3) Low","Read-only - no changes made to the device.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/defender_computerstate_summary.ps1","3) Complete - Needs Testing","No","","2562"
"Sensor","defender_licensestatus.ps1","Detection sensor: reports Microsoft Defender for Endpoint license and onboarding state via the OnboardingState registry key.","UEM","Windows","Microsoft","","Defender","Short","3) Low","Read-only - no changes made to the device.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/defender_licensestatus.ps1","3) Complete - Needs Testing","No","","851"
"Sensor","defender_signatureoutofdate.ps1","Detection sensor: reports whether Microsoft Defender virus definition signatures are out of date via Get-MpComputerStatus.","UEM","Windows","Microsoft","","Defender","Short","3) Low","Read-only - no changes made to the device.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/defender_signatureoutofdate.ps1","3) Complete - Needs Testing","No","","647"
"Script","Invoke-CrowdStrikeServiceRemediation.ps1","Ensures CrowdStrike Falcon services are running and set to Automatic startup. Note: Falcon is tamper-protected and cloud-managed - service remediation may be blocked by design. Confirm with your security team before deploying.","UEM","Windows","CrowdStrike","","CrowdStrike","Short","2) Medium","CrowdStrike service restart may cause a brief gap in endpoint protection. Falcon tamper protection may actively block service state changes.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/CrowdStrike/Invoke-CrowdStrikeServiceRemediation.ps1","3) Complete - Needs Testing","No","Verify with security team that service remediation is permitted in your Falcon policy before deploying","2398"
"Script","Invoke-TrellixCPUPriority.ps1","Sets Trellix (formerly McAfee) endpoint security processes to BelowNormal CPU priority to reduce performance impact during active scans. Priority change is in-process only and does not persist across service restarts.","UEM","Windows","Trellix","","Trellix","Short","3) Low","CPU priority change is transparent to the user. No service interruption.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/Trellix/Invoke-TrellixCPUPriority.ps1","3) Complete - Needs Testing","No","Lab-tested only - validate in production before broad deployment","1726"
"Script","Invoke-TrellixLocalUpdate.ps1","Forces a local content update for Trellix Endpoint Security (amcfg.exe /update) then triggers a policy refresh via CmdAgent.exe. Supports both McAfee and Trellix installation paths.","UEM","Windows","Trellix","","Trellix","Short","3) Low","Update and policy refresh run in the background. No user-visible interruption.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/Trellix/Invoke-TrellixLocalUpdate.ps1","3) Complete - Needs Testing","No","Lab-tested only - validate in production before broad deployment","2312"
"Script","Invoke-TrellixRefreshPolicies.ps1","Forces a policy refresh for Trellix (formerly McAfee) Endpoint Security via CmdAgent.exe steps: collect/send properties, send events, and check for new policies.","UEM","Windows","Trellix","","Trellix","Short","3) Low","Policy refresh runs in the background. No user-visible interruption.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/Trellix/Invoke-TrellixRefreshPolicies.ps1","3) Complete - Needs Testing","No","Lab-tested only - validate in production before broad deployment","2021"
"Script","Invoke-TrendMicroServiceRemediation.ps1","Ensures Trend Micro Apex One / OfficeScan services (ntrtscan / tmlisten / ofcservice / TmCCSF / TmWSCSvc / TmPfw) are running and set to Automatic startup.","UEM","Windows","Trend Micro","","Trend Micro","Short","2) Medium","Trend Micro service restart may cause a brief gap in endpoint protection.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/TrendMicro/Invoke-TrendMicroServiceRemediation.ps1","3) Complete - Needs Testing","No","Lab-tested only - validate in production before broad deployment","2149"
"Sensor","performance_bitlockerstatus.ps1","Detection sensor: reports the BitLocker protection status and encryption state of the C: drive.","UEM","Windows","Microsoft","","","Short","3) Low","Read-only - no changes made to the device.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/GenericTroubleshooting/PerfomanceSensors/performance_bitlockerstatus.ps1","4) Complete - Tested","No","","1034"
"Sensor","performance_defender_scanorupdateactive.ps1","Detection sensor: reports whether a Microsoft Defender scan or signature update is currently active. Useful for correlating Defender activity with high-CPU events in DEX.","UEM","Windows","Microsoft","","Defender","Short","3) Low","Read-only - no changes made to the device.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/GenericTroubleshooting/PerfomanceSensors/performance_defender_scanorupdateactive.ps1","4) Complete - Tested","No","","2343"
"Sensor","performance_windowsupdate_status.ps1","Detection sensor: reports the current Windows Update activity status (Idle / Downloading / Installing / etc.).","UEM","Windows","Microsoft","","","Short","3) Low","Read-only - no changes made to the device.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/GenericTroubleshooting/PerfomanceSensors/performance_windowsupdate_status.ps1","4) Complete - Tested","No","","1718"
"Sensor","Measure-GPLoadTime.ps1","Records Group Policy Client Side Extension (CSE) load times for the logged-on user to the registry. Mines the Microsoft-Windows-GroupPolicy event log for the most recent GP cycle and captures total duration and top 5 slowest CSEs.","UEM","Windows","Microsoft","","","Medium","3) Low","Read and registry write only. No user-visible interruption. Designed to run at logon via a SYSTEM scheduled task.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/GenericTroubleshooting/WindowsStartup/Measure-GPLoadTime.ps1","4) Complete - Tested","No","","5661"
"Sensor","Measure-GPLoadTimeEx.ps1","Extended version of Measure-GPLoadTime with additional metric collection and GPO correlation detail.","UEM","Windows","Microsoft","","","Medium","3) Low","Read and registry write only. No user-visible interruption.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/GenericTroubleshooting/WindowsStartup/Measure-GPLoadTimeEx.ps1","4) Complete - Tested","No","","6058"
"Sensor","Measure-LogonDuration.ps1","Records key Windows logon duration metrics for the logged-on user to the registry by mining event logs. Captures credential provider, Group Policy, logon script, and shell load phases. Supports scheduled task deployment mode for recurring logon measurement.","UEM","Windows","Microsoft","","","Medium","3) Low","Read and registry write only. Designed to run at logon as a SYSTEM scheduled task. No user-visible interruption.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/GenericTroubleshooting/WindowsStartup/Measure-LogonDuration.ps1","4) Complete - Tested","No","","26203"
"Sensor","Measure-LogonDurationEx.ps1","Extended version of Measure-LogonDuration with additional logon phase coverage and metric detail.","UEM","Windows","Microsoft","","","Medium","3) Low","Read and registry write only. No user-visible interruption.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/GenericTroubleshooting/WindowsStartup/Measure-LogonDurationEx.ps1","4) Complete - Tested","No","","29300"
"Script","Restart-WinProcessGraceful.ps1","Gracefully closes a Windows process matched by FileDescription, escalating through CloseMainWindow -> taskkill (no /F) -> Stop-Process -Force if the process does not exit within the configurable timeout. Optionally restarts the process from its original path after closing. Preferable to Restart-WinProcess.ps1 for user-facing applications with unsaved state.","UEM","Windows","Microsoft","","","Medium","1) High","Graceful termination gives the process a chance to save state, but if escalation reaches force-kill, unsaved work may be lost. In SYSTEM context, cross-session WM_CLOSE is blocked by UIPI; taskkill is the effective graceful path.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsAutoRemediation/ProcessManagement/Restart-WinProcessGraceful.ps1","3) Complete - Needs Testing","Yes","Process must be matched by FileDescription (not executable name). Verify the description string in Process Explorer before deploying.","8841"
"Script","Invoke-AutoRemediateAllDriverIssues.ps1","Full-sweep variant of Invoke-AutoRemediateDriverIssues that scans all defined PnP device classes (audio, Bluetooth, network, display, input, storage) for driver error codes and applies an escalating remediation sequence controlled by -AllowedActions. Device class coverage is table-driven -- no code changes required to add or remove classes.","UEM","Windows","Microsoft","","","Long","0) Critical","Destructive actions (Reinstall / Uninstall) permanently remove devices from the PnP tree with no undo. Covers all device classes -- wider blast radius than the targeted variant. Never deploy Reinstall/Uninstall to NICs at scale.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsAutoRemediation/Invoke-AutoRemediateAllDriverIssues.ps1","3) Complete - Needs Testing","Yes","Use default actions only (Scan + Restart + Rollback) unless a specific issue requires escalation. Test -DriverFilter patterns in a lab first.","21614"
"Script","Invoke-AutoRemediateWiFiSignalIssues.ps1","Runs sequenced Wi-Fi health checks (adapter detection / signal strength / driver age / NIC power management / adapter power saving mode / power plan wireless settings / USB selective suspend) and automatically remediates failures. Bounces the adapter if signal is below the warning threshold. Corrects power management settings that throttle wireless performance.","UEM","Windows","Microsoft","","","Long","2) Medium","Adapter bounce (disable/enable) causes a 10-30 second Wi-Fi reconnection interruption. Power plan and adapter power management changes persist after the script runs. Driver age check is informational only.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsAutoRemediation/Invoke-AutoRemediateWiFiSignalIssues.ps1","3) Complete - Needs Testing","No","Deploy AdapterName via env var to target a specific NIC; defaults to auto-detect on 802.11 media type.","20429"
"Script","Invoke-DriverUpdates.ps1","Queries Windows Update for available driver updates, optionally filtered by title regex, and in Install mode downloads and installs up to a configurable cap. Detect mode exits 1 (non-compliant) if updates are found. Reports reboot requirement via exit code 3010 without forcing a reboot. High-risk driver classes (audio / GPU / USB / chipset / storage) always set the reboot flag.","UEM","Windows","Microsoft","","","Medium","2) Medium","Driver installation may cause brief device interruption per driver class. The script never initiates a reboot; a separate reboot workflow must handle exit code 3010.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsAutoRemediation/DriverUpdates/Invoke-DriverUpdates.ps1","3) Complete - Needs Testing","No","Deploy in Detect mode first to inventory pending updates before switching to Install mode at scale.","12189"
"Script","Invoke-RemediateMemoryCompression.ps1","Detects and remediates disabled Windows Memory Compression via the MMAgent. If compression is disabled, enables it with Enable-MMAgent -MemoryCompression. No reboot required. Writes scan result to the HKLM DEXRecords registry key for DEX reporting.","UEM","Windows","Microsoft","","","Short","3) Low","No user-visible interruption. MMAgent change takes effect without a reboot.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsAutoRemediation/Memory/Invoke-RemediateMemoryCompression.ps1","3) Complete - Needs Testing","No","","4268"
"Script","Invoke-RemediatePageFile.ps1","Detects whether the Windows page file is manually configured (fixed size) and whether usage exceeds the configurable threshold. If the page file is not system-managed and is at the failure threshold, resets it to system-managed via CIM. High usage on a system-managed page file is reported but not changed. Writes scan result to the HKLM DEXRecords registry key.","UEM","Windows","Microsoft","","","Short","2) Medium","Page file configuration change requires a reboot to take full effect. System-managed page file with high usage is informational only -- a signal to review physical RAM.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsAutoRemediation/Memory/Invoke-RemediatePageFile.ps1","3) Complete - Needs Testing","No","","6336"
"Script","Invoke-RemediateSysMain.ps1","Detects and remediates a stopped or disabled SysMain (Superfetch) service. Sets the startup type to Automatic and starts the service if it is not running. Writes scan result to the HKLM DEXRecords registry key for DEX reporting.","UEM","Windows","Microsoft","","","Short","3) Low","No user-visible interruption. On SSD-only devices where SysMain is intentionally disabled, apply device targeting before deploying.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsAutoRemediation/Memory/Invoke-RemediateSysMain.ps1","3) Complete - Needs Testing","No","Verify SysMain is not intentionally disabled by policy before deploying at scale.","4590"
"Script","Start-DefenderFullScan.ps1","Triggers a Microsoft Defender full scan via the MpCmdRun.exe platform binary with a configurable maximum scan duration. Uses a randomised run event ID for scan tracking. Does not wait for scan completion -- exits after initiating the scan.","UEM","Windows","Microsoft","","Defender","Short","3) Low","Initiates a full Defender scan which consumes CPU and disk I/O for the scan duration. No remediation actions taken.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/Start-DefenderFullScane.ps1","3) Complete - Needs Testing","No","Filename contains a typo ('Scane') retained for compatibility.","2983"
"Sensor","startup_app_list.ps1","Reports installed applications from the Windows Uninstall registry alongside startup entries for the logged-on user. Combines HKLM Uninstall data with user-context startup keys to produce a unified app and startup inventory for DEX unmanaged application reporting.","UEM","Windows","Microsoft","","","Medium","3) Low","Read-only -- no changes made to the device.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/UnmanagedAppReport/startup_app_list.ps1","3) Complete - Needs Testing","No","Runs as SYSTEM using SID-based registry access to target the logged-on user hive.","10905"
"Script","Invoke-AutoRemediateOutlook.ps1","Runs sequenced Outlook-specific health checks and remediates where possible. Covers third-party add-in conflict detection (LoadBehavior), OST cache size threshold, Exchange sync backlog (event log), C2R update health, and Outlook profile integrity. Process health, network, disk, and Windows Update steps are intentionally excluded -- handled by generic scripts.","UEM","Windows","Microsoft","","Outlook","Long","2) Medium","OST rename (gated by $AllowDestructiveActions) forces a full mailbox resync which may consume significant bandwidth. Add-in disable (gated) removes Outlook integration for that add-in until re-enabled by IT.","https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/ApplicationSpecific/Outlook/Invoke-AutoRemediateOutlook.ps1","3) Complete - Needs Testing","No","Set $AllowDestructiveActions=$true via env var to enable OST rename and add-in disable. Default is safe/read-mostly.","23866"
