Type,Name,Description,Product,Platform,"Vendor (Browser:Microsoft, Google, Microsoft, Adobe)",Devices,Apps,Scrpt Lngth,Potential End User Impact,Impact Notes,URL,Status,Requires Input,Additional Notes
Script,Invoke-SimpleReboot.ps1,"Displays a configurable countdown notification to the logged-on user then forces a reboot via shutdown.exe. Default countdown is 5 minutes.",UEM,Windows,Microsoft,,,Short,1) High,"Forces a reboot after countdown. Unsaved work will be lost if the user does not act on the notification.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsReboot/InteractiveReboot/Invoke-SimpleReboot.ps1,4) Complete - Tested,No,
Script,Invoke_RebootWithUserDefer_1.2.0.7.ps1,"Advanced reboot orchestrator that notifies the user on a configurable schedule and forces a reboot after a maximum deferral window expires. Configurable countdown duration, notification interval, and maximum deferral hours.",UEM,Windows,Microsoft,,,Long,1) High,"Reboot is ultimately forced after the max deferral window. Unsaved work will be lost if the user ignores all notifications.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsReboot/InteractiveReboot/Invoke_RebootWithUserDefer_1.2.0.7.ps1,4) Complete - Tested,No,
Script,SmartReboot.ps1,"Detection component for the SmartReboot workflow. Checks the AirWatch SmartReboot registry key to determine if a pending install has completed. Returns exit 1641 (install pending) or 0 (complete).",UEM,Windows,Microsoft,,,Short,3) Low,"Detection only — does not initiate a reboot itself.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/WindowsReboot/SmartReboot/SmartReboot.ps1,4) Complete - Tested,No,Used as a detection script in WS1 to gate reboot-required logic
Sensor,Get-UserProfileSize.ps1,"Reports the size of all user profiles on the device. Useful for identifying disk space consumed by inactive or oversized profiles before running cleanup scripts.",UEM,Windows,Microsoft,,,Short,3) Low,"Read-only — no changes made to the device.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/DiskCleanup/Get-UserProfileSize.ps1,3) Complete - Needs Testing,No,
Script,Start-ClearRecycleBin.ps1,"Empties the Recycle Bin for all user profiles on the device silently.",UEM,Windows,Microsoft,,,Short,3) Low,"Permanently deletes Recycle Bin contents. Users cannot recover deleted files after this runs.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/DiskCleanup/Start-ClearRecycleBin.ps1,4) Complete - Tested,No,
Script,Start-DiskCleanup.ps1,"Automates Windows Disk Cleanup (cleanmgr.exe) targeting system-level categories: previous Windows installations, update artifacts, error dumps, and upgrade logs. Reports GB reclaimed on completion.",UEM,Windows,Microsoft,,,Short,3) Low,"Deletes system cleanup categories which cannot be recovered. Previous Windows installation data is permanently removed.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/DiskCleanup/Start-DiskCleanup.ps1,4) Complete - Tested,No,
Script,Start-UserProfileCleanup.ps1,"Removes inactive user profiles from the device based on configurable inactivity period (days) and size threshold (MB). Skips the configured enrollment user account.",UEM,Windows,Microsoft,,,Medium,1) High,"Deletes user profiles — all local data in those profiles is permanently lost. Misconfiguring the enrollment user exclusion can result in unintended profile deletion.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/DiskCleanup/Start-UserProfileCleanup.ps1,3) Complete - Needs Testing,No,"Requires admin to configure ENROLLMENTUSER, DAYS_INACTIVE, and SIZE_THRESHOLD_MB before deploying"
Sensor,Get-StartupApps.ps1,"Enumerates all startup entries for the currently logged-on user from 64-bit and 32-bit Run registry keys, startup folders, and Task Scheduler logon-trigger tasks. Reports name, enabled/disabled state, command, source, and user.",UEM,Windows,Microsoft,,,Medium,3) Low,"Read-only — no changes made to the device.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/UnmanagedAppReport/Get-StartupApps.ps1,3) Complete - Needs Testing,No,Runs as SYSTEM using SID-based registry access to target the logged-on user hive
Script,DEX_Invoke-SignoffWindows.ps1,"Signs off user sessions on a managed Windows device. Defaults to all sessions; use -CurrentUser switch to target only the active console session.",UEM,Windows,Microsoft,,,Short,1) High,"Signs off user sessions — all unsaved work is lost. Ensure user notification is in place before deploying.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/MDMCommands/DEX_Invoke-SignoffWindows.ps1,4) Complete - Tested,No,
Script,DEX_LockDevice-BitlockEncryptionActivated.ps1,"Disables BitLocker protectors on C: then immediately initiates a hard shutdown. Intended for device decommission or emergency scenarios where encryption must be suspended before power-off.",UEM,Windows,Microsoft,,,Short,0) Critical,"Forces an immediate shutdown — all unsaved work is lost. BitLocker protectors are disabled meaning the drive can be read without a recovery key until protectors are re-enabled.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/MDMCommands/DEX_LockDevice-BitlockEncryptionActivated.ps1,3) Complete - Needs Testing,No,"Use only for device decommission or specific security scenarios. Understand BitLocker implications before deploying."
Script,DEX_Start-LockDeviceSoft.ps1,"Soft-locks the active console session using tsdiscon.exe. Disconnects and locks the screen without signing the user out — all running processes and unsaved work are preserved.",UEM,Windows,Microsoft,,,Short,3) Low,"Screen is locked and session disconnected. User processes continue running in the background. No data loss.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/MDMCommands/DEX_Start-LockDeviceSoft.ps1,4) Complete - Tested,No,
Sensor,sensor-getservice.ps1,"Returns a JSON-compressed list of all currently running Windows services. Lightweight DEX sensor for service inventory and health monitoring.",UEM,Windows,Microsoft,,,Short,3) Low,"Read-only — no changes made to the device.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/MDMCommands/sensor-getservice.ps1,4) Complete - Tested,No,
Script,Invoke-DefenderServiceRemediation.ps1,"Ensures core Microsoft Defender services (MDCoreSvc / WinDefend / WdNisSvc / mpssvc) are set to Automatic startup and running. Re-enables Real-Time Protection if it has been disabled.",UEM,Windows,Microsoft,,Defender,Short,3) Low,"Service restarts may cause a brief gap in protection. Real-Time Protection toggling is instantaneous with no user-visible effect.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/Invoke-DefenderServiceRemediation.ps1,4) Complete - Tested,No,
Script,Invoke-DefenderPauseScan.ps1,"Locates the highest available version of MpCmdRun.exe from the Defender platform directory and issues a scan cancel command. Safe to run when no scan is active.",UEM,Windows,Microsoft,,Defender,Short,3) Low,"Cancels an active scan — scan progress is lost and must be re-triggered separately.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/Invoke-DefenderPauseScan.ps1,4) Complete - Tested,No,
Script,Invoke-DefenderDynamicPerformance.ps1,"Calculates a hardware performance score from BIOS generation date, CPU core count, and system disk type (HDD/SSD/NVMe). Maps the score to a Defender CPU profile (VeryLow/Low/Medium/High) and applies matching ScanAvgCPULoadFactor and EnableLowCpuPriority settings via Set-MpPreference.",UEM,Windows,Microsoft,,Defender,Medium,3) Low,"Modifies Defender scan CPU thresholds only. No user-visible interruption.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/Invoke-DefenderDynamicPerformance.ps1,3) Complete - Needs Testing,No,Useful for dynamically tuning Defender without assigning multiple MDM profiles per hardware tier
Script,Invoke-DefenderEnableCloudBlock_BAFS.ps1,"Enables Defender cloud protection settings: CloudBlockLevel (High/1), MAPSReporting (Advanced), and SubmitSamplesConsent (1 = send safe samples). All changes are idempotent and only applied if not already at the target value.",UEM,Windows,Microsoft,,Defender,Short,3) Low,"No user-visible interruption. Increases cloud telemetry sent to Microsoft. Confirm SubmitSamplesConsent is appropriate for your data classification requirements.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/Invoke-DefenderEnableCloudBlock_BAFS.ps1,4) Complete - Tested,No,Confirm SubmitSamplesConsent is acceptable in regulated/restricted environments before deploying
Script,Invoke-DefenderUpdateSignatures.ps1,"Checks whether Defender virus definitions are out of date. If so triggers Update-MpSignature as a background job so the script exits within MDM timeout windows.",UEM,Windows,Microsoft,,Defender,Short,3) Low,"Background signature update consumes network bandwidth. No user-visible interruption during script execution.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/Invoke-DefenderUpdateSignatures.ps1,4) Complete - Tested,No,
Script,Start-DefenderThreatReport_1.4.8.4.ps1,"Queries active Defender threats and maps detected threat names to the Windows Uninstall registry for reporting in Workspace ONE Intelligence. Threat records are persisted for a configurable number of hours.",UEM,Windows,Microsoft,,Defender,Long,3) Low,"Registry write only — no remediation actions taken. Threat data written to the Uninstall key may appear as installed apps in some reporting views.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/ThreatReporting/Start-DefenderThreatReport_1.4.8.4.ps1,4) Complete - Tested,No,Designed to run on a recurring trigger (every 4 hours) for near-real-time threat visibility in Intelligence
Sensor,defender_cloudblock_bafs.ps1,"Detection sensor: reports the current Defender Block-at-First-Sight (BAFS) and cloud protection state (CloudBlockLevel / MAPSReporting / SubmitSamplesConsent).",UEM,Windows,Microsoft,,Defender,Short,3) Low,"Read-only — no changes made to the device.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/defender_cloudblock_bafs.ps1,3) Complete - Needs Testing,No,
Sensor,defender_computerstate_summary.ps1,"Detection sensor: reports a summary of Microsoft Defender computer protection state including RTP status, signature age, scan status, and service health.",UEM,Windows,Microsoft,,Defender,Short,3) Low,"Read-only — no changes made to the device.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/defender_computerstate_summary.ps1,3) Complete - Needs Testing,No,
Sensor,defender_licensestatus.ps1,"Detection sensor: reports Microsoft Defender for Endpoint license and onboarding state via the OnboardingState registry key.",UEM,Windows,Microsoft,,Defender,Short,3) Low,"Read-only — no changes made to the device.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/defender_licensestatus.ps1,3) Complete - Needs Testing,No,
Sensor,defender_signatureoutofdate.ps1,"Detection sensor: reports whether Microsoft Defender virus definition signatures are out of date via Get-MpComputerStatus.",UEM,Windows,Microsoft,,Defender,Short,3) Low,"Read-only — no changes made to the device.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/MicrosoftDefender/defender_signatureoutofdate.ps1,3) Complete - Needs Testing,No,
Script,Invoke-CrowdStrikeServiceRemediation.ps1,"Ensures CrowdStrike Falcon services are running and set to Automatic startup. Note: Falcon is tamper-protected and cloud-managed — service remediation may be blocked by design. Confirm with your security team before deploying.",UEM,Windows,CrowdStrike,,CrowdStrike,Short,2) Medium,"CrowdStrike service restart may cause a brief gap in endpoint protection. Falcon tamper protection may actively block service state changes.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/CrowdStrike/Invoke-CrowdStrikeServiceRemediation.ps1,3) Complete - Needs Testing,No,Verify with security team that service remediation is permitted in your Falcon policy before deploying
Script,Invoke-TrellixCPUPriority.ps1,"Sets Trellix (formerly McAfee) endpoint security processes to BelowNormal CPU priority to reduce performance impact during active scans. Priority change is in-process only and does not persist across service restarts.",UEM,Windows,Trellix,,Trellix,Short,3) Low,"CPU priority change is transparent to the user. No service interruption.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/Trellix/Invoke-TrellixCPUPriority.ps1,3) Complete - Needs Testing,No,Lab-tested only — validate in production before broad deployment
Script,Invoke-TrellixLocalUpdate.ps1,"Forces a local content update for Trellix Endpoint Security (amcfg.exe /update) then triggers a policy refresh via CmdAgent.exe. Supports both McAfee and Trellix installation paths.",UEM,Windows,Trellix,,Trellix,Short,3) Low,"Update and policy refresh run in the background. No user-visible interruption.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/Trellix/Invoke-TrellixLocalUpdate.ps1,3) Complete - Needs Testing,No,Lab-tested only — validate in production before broad deployment
Script,Invoke-TrellixRefreshPolicies.ps1,"Forces a policy refresh for Trellix (formerly McAfee) Endpoint Security via CmdAgent.exe steps: collect/send properties, send events, and check for new policies.",UEM,Windows,Trellix,,Trellix,Short,3) Low,"Policy refresh runs in the background. No user-visible interruption.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/Trellix/Invoke-TrellixRefreshPolicies.ps1,3) Complete - Needs Testing,No,Lab-tested only — validate in production before broad deployment
Script,Invoke-TrendMicroServiceRemediation.ps1,"Ensures Trend Micro Apex One / OfficeScan services (ntrtscan / tmlisten / ofcservice / TmCCSF / TmWSCSvc / TmPfw) are running and set to Automatic startup.",UEM,Windows,Trend Micro,,Trend Micro,Short,2) Medium,"Trend Micro service restart may cause a brief gap in endpoint protection.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/AntiVirusResolutionScripts/TrendMicro/Invoke-TrendMicroServiceRemediation.ps1,3) Complete - Needs Testing,No,Lab-tested only — validate in production before broad deployment
Sensor,performance_bitlockerstatus.ps1,"Detection sensor: reports the BitLocker protection status and encryption state of the C: drive.",UEM,Windows,Microsoft,,,Short,3) Low,"Read-only — no changes made to the device.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/GenericTroubleshooting/PerfomanceSensors/performance_bitlockerstatus.ps1,4) Complete - Tested,No,
Sensor,performance_defender_scanorupdateactive.ps1,"Detection sensor: reports whether a Microsoft Defender scan or signature update is currently active. Useful for correlating Defender activity with high-CPU events in DEX.",UEM,Windows,Microsoft,,Defender,Short,3) Low,"Read-only — no changes made to the device.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/GenericTroubleshooting/PerfomanceSensors/performance_defender_scanorupdateactive.ps1,4) Complete - Tested,No,
Sensor,performance_windowsupdate_status.ps1,"Detection sensor: reports the current Windows Update activity status (Idle / Downloading / Installing / etc.).",UEM,Windows,Microsoft,,,Short,3) Low,"Read-only — no changes made to the device.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/GenericTroubleshooting/PerfomanceSensors/performance_windowsupdate_status.ps1,4) Complete - Tested,No,
Sensor,Measure-GPLoadTime.ps1,"Records Group Policy Client Side Extension (CSE) load times for the logged-on user to the registry. Mines the Microsoft-Windows-GroupPolicy event log for the most recent GP cycle and captures total duration and top 5 slowest CSEs.",UEM,Windows,Microsoft,,,Medium,3) Low,"Read and registry write only. No user-visible interruption. Designed to run at logon via a SYSTEM scheduled task.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/GenericTroubleshooting/WindowsStartup/Measure-GPLoadTime.ps1,4) Complete - Tested,No,
Sensor,Measure-GPLoadTimeEx.ps1,"Extended version of Measure-GPLoadTime with additional metric collection and GPO correlation detail.",UEM,Windows,Microsoft,,,Medium,3) Low,"Read and registry write only. No user-visible interruption.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/GenericTroubleshooting/WindowsStartup/Measure-GPLoadTimeEx.ps1,4) Complete - Tested,No,
Sensor,Measure-LogonDuration.ps1,"Records key Windows logon duration metrics for the logged-on user to the registry by mining event logs. Captures credential provider, Group Policy, logon script, and shell load phases. Supports scheduled task deployment mode for recurring logon measurement.",UEM,Windows,Microsoft,,,Medium,3) Low,"Read and registry write only. Designed to run at logon as a SYSTEM scheduled task. No user-visible interruption.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/GenericTroubleshooting/WindowsStartup/Measure-LogonDuration.ps1,4) Complete - Tested,No,
Sensor,Measure-LogonDurationEx.ps1,"Extended version of Measure-LogonDuration with additional logon phase coverage and metric detail.",UEM,Windows,Microsoft,,,Medium,3) Low,"Read and registry write only. No user-visible interruption.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/GenericTroubleshooting/WindowsStartup/Measure-LogonDurationEx.ps1,4) Complete - Tested,No,
Script,Install-TroubleshootWizard.ps1,"Installs the TroubleshootWizard self-service troubleshooting tool to C:\ProgramData\AirWatch\Extensions\TroubleshootWizard. Supports SFD (Software Distribution) and ZIP (Product Provisioning) deployment modes with auto-detection.",UEM,Windows,Microsoft,,,Medium,3) Low,"Copies files to ProgramData. No user-visible interruption.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/TroubleshootingWizard/Install-TroubleshootWizard.ps1,4) Complete - Tested,No,
Script,Uninstall-TroubleshootWizard.ps1,"Removes the TroubleshootWizard installation from C:\ProgramData\AirWatch\Extensions\TroubleshootWizard.",UEM,Windows,Microsoft,,,Short,3) Low,"Removes the self-service troubleshooting tool — users will no longer be able to launch it.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/TroubleshootingWizard/Uninstall-TroubleshootWizard.ps1,4) Complete - Tested,No,
Script,TroubleshootWizard.ps1,"Core TroubleshootWizard engine. Orchestrates the self-service troubleshooting experience by loading diagnostic steps, presenting a UI to the user, and executing selected remediations.",UEM,Windows,Microsoft,,,Long,2) Medium,"Runs diagnostic and remediation steps selected by the user. Impact depends on which troubleshooting steps are executed.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/TroubleshootingWizard/TroubleshootWizard.ps1,4) Complete - Tested,No,
Script,Create-ZipPackage.ps1,"Packages TroubleshootWizard payload files into a ZIP archive for Product Provisioning deployments where only a single file can be staged.",UEM,Windows,Microsoft,,,Short,3) Low,"Admin/build utility — not deployed to endpoints. No runtime impact.",https://github.com/omnissa-chase/DEXSolutionScripts/blob/main/TroubleshootingWizard/Create-ZipPackage.ps1,4) Complete - Tested,No,Admin utility only